run_dir,run_name,method,regime,seed,episodes,r_mean,r_std,l_mean,l_std,violation_count_mean,violation_count_std,near_miss_count_mean,near_miss_count_std,shield_count_mean,shield_count_std,action_correction_mean_mean,action_correction_mean_std,reward_penalty_sum_mean,reward_penalty_sum_std,metric_source_csv
runs_thesis\adjust_speed_only_stationary_s0,adjust_speed_only_stationary_s0,adjust_speed_only,stationary,0,112.0,177.94363440178572,53.40597929201959,177.88392857142858,49.11793961104733,116.17857142857143,46.20522459552361,0.19642857142857142,0.7808436845597585,0.0,0.0,0.5259086152104577,0.11209905233660003,0.0,0.0,runs_thesis\adjust_speed_only_stationary_s0\train_monitor.csv
runs_thesis\adjust_speed_only_stationary_s1,adjust_speed_only_stationary_s1,adjust_speed_only,stationary,1,118.0,166.72231981355935,65.50067518336971,169.1271186440678,61.08191873832251,113.6864406779661,55.50447724337699,0.6864406779661016,2.5274532046269473,0.0,0.0,0.5285135211991926,0.12095629829417782,0.0,0.0,runs_thesis\adjust_speed_only_stationary_s1\train_monitor.csv
runs_thesis\adjust_speed_only_stationary_s2,adjust_speed_only_stationary_s2,adjust_speed_only,stationary,2,109.0,172.10107352293576,56.2625080283782,183.045871559633,44.484367899609346,107.74311926605505,39.86560841909393,0.009174311926605505,0.09578262852211514,0.0,0.0,0.5569897883186731,0.10584863072792042,0.0,0.0,runs_thesis\adjust_speed_only_stationary_s2\train_monitor.csv
runs_thesis\adjust_speed_only_nonstationary_seen_s0,adjust_speed_only_nonstationary_seen_s0,adjust_speed_only,nonstationary_seen,0,106.0,186.40534568867923,49.026687895951426,187.38679245283018,43.31228149914613,122.70754716981132,44.9806237609743,0.25471698113207547,1.7623648654967758,0.0,0.0,0.5310095075365102,0.13131438180374747,0.0,0.0,runs_thesis\adjust_speed_only_nonstationary_seen_s0\train_monitor.csv
runs_thesis\adjust_speed_only_nonstationary_seen_s1,adjust_speed_only_nonstationary_seen_s1,adjust_speed_only,nonstationary_seen,1,109.0,179.40928596330275,51.483047980096124,183.21100917431193,44.82560309120956,109.92660550458716,43.32814208691671,0.01834862385321101,0.1348285177101028,0.0,0.0,0.5475219837776231,0.1117531822598582,0.0,0.0,runs_thesis\adjust_speed_only_nonstationary_seen_s1\train_monitor.csv
runs_thesis\adjust_speed_only_nonstationary_seen_s2,adjust_speed_only_nonstationary_seen_s2,adjust_speed_only,nonstationary_seen,2,113.0,168.58061473451326,60.960740329518536,175.8849557522124,53.091355264229854,126.69911504424779,56.00077884594748,3.0707964601769913,7.691271507085265,0.0,0.0,0.5926084514796788,0.10620877524564819,0.0,0.0,runs_thesis\adjust_speed_only_nonstationary_seen_s2\train_monitor.csv
runs_thesis\adjust_speed_only_nonstationary_unseen_s0,adjust_speed_only_nonstationary_unseen_s0,adjust_speed_only,nonstationary_unseen,0,113.0,152.52060507079645,61.97119641849347,175.30088495575222,53.6354901420812,104.14159292035399,43.35337918462255,0.4336283185840708,1.4932951710101814,0.0,0.0,0.5448407619481206,0.1274721316217109,0.0,0.0,runs_thesis\adjust_speed_only_nonstationary_unseen_s0\train_monitor.csv
runs_thesis\adjust_speed_only_nonstationary_unseen_s1,adjust_speed_only_nonstationary_unseen_s1,adjust_speed_only,nonstationary_unseen,1,117.0,150.95152484615383,62.60636349663702,170.2991452991453,57.70335329962904,97.65811965811966,42.969147390520995,0.3247863247863248,1.9423992443982683,0.0,0.0,0.5403495706028613,0.14389239861149009,0.0,0.0,runs_thesis\adjust_speed_only_nonstationary_unseen_s1\train_monitor.csv
runs_thesis\adjust_speed_only_nonstationary_unseen_s2,adjust_speed_only_nonstationary_unseen_s2,adjust_speed_only,nonstationary_unseen,2,106.0,169.0224110660377,53.74844419895919,187.14150943396226,39.05562301549524,114.20754716981132,43.17422444912552,1.0188679245283019,3.430899179863777,0.0,0.0,0.5594940600456839,0.12163310413046668,0.0,0.0,runs_thesis\adjust_speed_only_nonstationary_unseen_s2\train_monitor.csv
runs_thesis\lilac_context_stationary_s0,lilac_context_stationary_s0,lilac_context,stationary,0,103.0,174.6736604951456,55.331398990401766,194.1747572815534,29.712817325539877,56.20388349514563,52.04944090474073,31.58252427184466,42.01715902329798,0.0,0.0,0.0,0.0,20.093040704521723,31.796960336465382,runs_thesis\lilac_context_stationary_s0\train_monitor.csv
runs_thesis\lilac_context_stationary_s1,lilac_context_stationary_s1,lilac_context,stationary,1,103.0,171.86928121359227,59.9168282566777,193.4368932038835,27.50745706485348,60.47572815533981,45.654251495470284,31.83495145631068,39.15832545824322,0.0,0.0,0.0,0.0,20.712814664918806,29.958798745656523,runs_thesis\lilac_context_stationary_s1\train_monitor.csv
runs_thesis\lilac_context_stationary_s2,lilac_context_stationary_s2,lilac_context,stationary,2,107.0,148.0626674859813,75.57392280248187,185.1214953271028,49.83003380935052,57.018691588785046,45.57431859340348,30.88785046728972,38.59155423850492,0.0,0.0,0.0,0.0,20.536412484637474,29.158658749639944,runs_thesis\lilac_context_stationary_s2\train_monitor.csv
runs_thesis\lilac_context_nonstationary_seen_s0,lilac_context_nonstationary_seen_s0,lilac_context,nonstationary_seen,0,104.0,168.40699237500002,60.42314860170276,191.23076923076923,34.59143807002036,58.58653846153846,51.72042292097697,14.365384615384615,33.91252530653193,0.0,0.0,0.0,0.0,20.66713222375247,29.765884508318933,runs_thesis\lilac_context_nonstationary_seen_s0\train_monitor.csv
runs_thesis\lilac_context_nonstationary_seen_s1,lilac_context_nonstationary_seen_s1,lilac_context,nonstationary_seen,1,105.0,160.0414255047619,69.26366471241549,189.55238095238096,38.673679419645076,59.457142857142856,49.73178610758465,12.685714285714285,30.44140471264625,0.0,0.0,0.0,0.0,19.93178719143996,28.975598839800604,runs_thesis\lilac_context_nonstationary_seen_s1\train_monitor.csv
runs_thesis\lilac_context_nonstationary_seen_s2,lilac_context_nonstationary_seen_s2,lilac_context,nonstationary_seen,2,108.0,159.6158184259259,65.5608379367915,183.86111111111111,46.48011499924111,63.861111111111114,48.99102689790145,14.37962962962963,31.19331272468586,0.0,0.0,0.0,0.0,21.60432520388006,27.453701357043816,runs_thesis\lilac_context_nonstationary_seen_s2\train_monitor.csv
