#{"t_start": 1773825314.7199645, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
140.641726,200,14.899344,62,0,0,0.6574692219123244,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
97.568964,94,22.098269,54,0,0,0.7251657547944403,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
106.986921,114,30.832781,30,0,0,0.679864781728962,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
115.699759,200,45.578676,86,0,0,0.670678262989968,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
123.077284,200,61.42696,87,0,0,0.595782163515687,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
147.006463,200,76.547853,97,0,0,0.6684616896510124,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
100.509719,145,90.380226,65,0,0,0.6828464348768366,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
54.796076,60,94.957321,21,0,0,0.7214391734451056,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
169.988079,200,109.801371,83,0,0,0.6392660654708743,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
38.316918,37,112.933788,18,0,0,0.7064408571333498,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
99.176217,175,127.662735,86,0,0,0.6302588602900505,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
151.69449,164,142.160845,64,0,0,0.6497262351487468,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
199.772454,200,159.786885,72,0,0,0.6884132769331336,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
197.833195,200,175.895841,91,0,0,0.6619537145737558,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
198.060823,200,192.800741,81,0,0,0.6733102160319686,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
200.506391,200,209.302505,91,0,0,0.6503770708665252,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
178.627946,200,225.254994,107,0,0,0.6321706883609295,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
136.859799,200,241.302644,66,0,0,0.6667669346183538,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
151.437836,200,259.684599,78,0,0,0.623601343780756,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
124.950542,174,275.152592,68,0,0,0.6539644842496377,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
206.818031,200,291.255343,83,0,0,0.6411166755319573,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
201.949684,200,307.026642,75,0,0,0.706801975555718,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
203.942816,200,322.005302,85,0,0,0.675136117762886,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
147.472198,200,337.251677,76,0,0,0.6436145253386348,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
129.255981,200,352.240171,128,0,0,0.6120930647663773,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
200.522119,200,368.671546,85,0,0,0.6623870608024299,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
64.901047,82,375.152017,38,0,0,0.6409512251252081,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
165.222606,200,393.115104,85,0,0,0.6991636154428125,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
174.965814,200,408.235001,105,0,0,0.6680632372573018,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
106.623464,155,420.112559,84,0,0,0.6231518308001179,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
116.084494,200,435.584746,175,0,0,0.6799649422615767,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
209.654925,200,454.748421,89,0,0,0.6550888646487146,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
192.584546,200,471.069372,120,0,0,0.6574115037824959,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
210.910894,200,488.161937,105,0,0,0.5952653888892382,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
200.509005,200,503.474098,69,0,0,0.6416706494987011,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
