#{"t_start": 1773830224.3288565, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
140.560617,200,15.510316,62,0,0,0.6565675447508693,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
189.730424,200,34.852713,85,0,0,0.713603247627616,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
122.509316,173,51.235646,88,0,0,0.6924527073871194,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
82.417515,108,60.235115,38,0,0,0.6292287596949825,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
0.461027,1,60.329861,1,1,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
110.947527,200,75.704803,95,0,0,0.6449961645528675,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
172.346279,200,90.960965,91,0,0,0.6522748046182096,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
192.179335,200,105.876365,85,0,0,0.6947706138901413,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
153.295141,200,121.60186,100,0,0,0.6785726035386324,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
59.267728,125,132.93058,64,0,0,0.6148098232150078,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
208.583503,200,148.274391,106,0,0,0.6668838610686362,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
61.756108,61,152.852567,18,0,0,0.7208129201756149,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
1.280799,2,153.049445,2,1,0,0.291177362203598,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
118.976047,132,163.869351,66,0,0,0.7254449266827467,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
114.399427,200,180.045329,90,0,0,0.6616886938735843,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
118.887884,200,196.497385,90,0,0,0.6734540374949575,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
157.331287,170,210.150078,85,0,0,0.6872779297039789,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
69.632688,75,216.367862,39,0,0,0.6941704094409943,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
174.553328,200,231.790414,64,0,0,0.6697255765274167,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
97.687053,200,248.361562,89,0,0,0.6538933593407273,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
81.628554,200,264.430989,93,0,0,0.6089262636564672,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
188.366587,200,282.601968,58,0,0,0.661939797103405,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
84.444062,162,295.18522,121,0,0,0.6109294589194987,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
98.839254,200,311.850057,82,0,0,0.6774504182115197,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
205.509648,200,327.191609,82,0,0,0.7297133325412869,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
191.193502,200,346.087438,104,0,0,0.6574980237334966,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
163.612571,200,362.42575,108,0,0,0.5770581826381386,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
199.522476,200,377.494339,85,0,0,0.69662860609591,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
69.702012,70,382.978338,44,0,0,0.7149303082908903,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
74.151378,200,398.039176,108,0,0,0.7150984231382609,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
112.215339,200,413.634447,108,0,0,0.609158620107919,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
123.577339,200,433.369174,168,0,0,0.5770717527065427,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
145.101025,200,449.869346,54,0,0,0.7216411631181836,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
202.853508,200,466.108298,105,0,0,0.6264950829744339,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
201.428128,200,484.087785,119,0,0,0.6459667192213238,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
204.352641,200,499.91676,80,0,0,0.6571228541061283,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
136.850238,200,515.193702,123,0,0,0.6339249284565449,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
104.261853,200,530.407408,84,0,0,0.6131695351563394,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
184.418265,200,547.619826,95,0,0,0.6186974839493632,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
59.476075,70,553.323092,36,0,0,0.5706227004528046,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
126.880164,121,562.768641,86,0,0,0.5788157992680704,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
127.098908,200,580.450778,82,0,0,0.6021415843814611,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
178.565593,200,596.716291,174,4,0,0.518240469917655,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
208.060191,200,612.190334,168,0,0,0.5955819086357951,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
206.838675,200,630.452076,79,0,0,0.6069726226851344,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
27.648091,81,638.612073,45,0,0,0.5398651168302253,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
204.953981,200,655.167039,113,0,0,0.6087737155519426,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
190.95899,200,671.692327,88,0,0,0.60931651301682,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
187.573919,200,686.604913,101,0,0,0.6596141001209617,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
92.668166,200,701.964302,89,0,0,0.6141883274912834,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
193.749136,200,721.240404,129,0,0,0.4441718676313758,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
205.190464,200,739.831553,105,0,0,0.5642543867975474,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
73.770068,131,750.464633,103,0,0,0.5985065467712534,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
84.99943,84,757.175174,59,0,0,0.6848969725625855,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
203.420679,200,772.21652,122,0,0,0.5961723782587797,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
116.702973,200,788.104371,154,0,0,0.5487817903235555,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
71.082484,76,794.823295,34,0,0,0.5949472932046965,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
209.362955,200,809.589307,101,0,0,0.5912483906559646,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
200.059206,200,825.652181,122,0,0,0.5592257027328015,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
186.017921,200,842.0638,95,0,0,0.4212283564731479,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
118.65285,200,858.66835,94,0,0,0.5320161514356733,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
103.610403,106,866.66748,40,0,0,0.5704011157383475,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
3.76141,5,867.058502,3,0,0,0.9207343578338623,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
160.206689,200,885.214795,137,3,0,0.43469322523567827,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
116.058613,200,901.584122,141,0,0,0.5596268843114376,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
150.236387,200,917.152822,141,0,0,0.5901810216903687,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
125.828817,200,935.703946,64,0,0,0.3858905837545171,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
