#{"t_start": 1773820409.816457, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
140.641726,200,15.013399,62,0,0,0.6574692219123244,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
195.283295,200,30.920348,84,0,0,0.7083753258362413,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
124.780535,161,43.645329,76,0,0,0.6775377180820666,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
103.840724,200,58.345633,77,0,0,0.6010109473578632,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
160.032277,167,71.686556,74,0,0,0.6611695789737616,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
87.575411,121,80.841648,62,0,0,0.6458475005558946,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
193.454593,200,95.670146,89,0,0,0.6797535051777959,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
156.673113,200,110.850694,86,0,0,0.6721668962389231,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
111.833186,200,125.636243,84,0,0,0.6263501745276153,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
111.613544,106,134.105711,55,0,0,0.6722843048848072,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
44.116647,43,137.514008,20,0,0,0.6531501578730207,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.405906,200,152.349595,84,0,0,0.6874339382722974,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
190.933082,200,168.872802,84,0,0,0.6486407268792391,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
193.10704,200,186.662228,83,0,0,0.6659192819520832,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
204.298185,200,205.185348,107,0,0,0.6562548258528114,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
181.580801,181,220.342044,98,0,0,0.6236511950499445,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
100.259492,200,236.43293,84,0,0,0.6710931160673499,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
154.159038,200,254.967521,74,0,0,0.611223624702543,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
188.933931,200,269.404951,91,0,0,0.6533515750989318,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
126.072589,126,279.655302,41,0,0,0.62786525050326,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
181.028116,200,295.647292,69,0,0,0.6352365910820663,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
208.328944,200,311.172511,72,0,0,0.6565208173915744,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
38.20235,46,314.748974,25,0,0,0.5597486356678216,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
151.456752,200,329.823649,68,0,0,0.6492285408452153,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
102.197908,110,337.934891,63,0,0,0.5593906795436686,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
198.885091,200,354.108764,88,0,0,0.669833532422781,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
202.887432,200,369.999269,94,0,0,0.611871988158673,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
120.231622,200,385.045779,86,0,0,0.7129205272346735,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
206.299919,200,400.030151,88,0,0,0.632414085213095,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
190.945669,200,415.827317,92,0,0,0.645309630818665,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
185.511929,200,431.890429,78,0,0,0.6110978901386261,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
44.481006,42,435.281133,30,0,0,0.6287866199300403,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
195.993739,200,451.280475,117,0,0,0.6408740257099271,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
212.023736,200,467.39948,146,5,0,0.5203312860056758,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
205.346988,200,482.327672,91,0,0,0.6409217775985598,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.813692,200,500.906056,120,0,0,0.604839730784297,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
155.697907,200,515.932123,97,0,0,0.6792069629952312,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.273705,200,530.824993,77,0,0,0.63028982559219,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
131.774486,126,541.000502,76,0,0,0.6285639611619805,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
201.125695,200,558.641071,126,0,0,0.6469143362343311,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.491792,200,573.53286,134,0,0,0.5765845141001046,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
208.340238,200,589.238408,125,0,0,0.6209864885732531,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.368067,200,604.151639,97,0,0,0.6562245943024755,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.551144,200,618.899008,109,0,0,0.5817399737983941,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
169.80481,200,634.92888,136,0,0,0.6570549765601754,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.27261,200,650.194506,122,0,0,0.5539315197616815,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
66.69914,189,666.643661,136,0,0,0.6309480200368891,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.10251,200,682.298069,108,0,0,0.5410543863102794,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.34575,200,697.115046,114,0,0,0.5649111748486757,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
63.413831,58,701.480364,24,0,0,0.7124780131311252,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.670689,200,717.735868,130,0,0,0.5065934681519866,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
82.25537,77,723.969445,69,0,0,0.4454006724930429,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.901166,200,739.719776,123,0,0,0.48396615822333844,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.489405,200,757.329506,129,0,0,0.4842243591696024,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.303219,200,772.516535,130,0,0,0.40460283095948396,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
199.036933,200,789.43909,107,0,0,0.5730225993692875,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
4.502013,5,790.048474,5,0,0,0.30144378542900085,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
27.881969,26,792.703649,23,0,0,0.3951788110515246,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.873122,200,809.906283,161,0,0,0.4306120761111379,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.504446,200,826.970194,187,0,0,0.5156611487641931,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.870257,200,845.393066,89,0,0,0.3806873731594533,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.322225,200,862.658165,167,1,0,0.5093798229284584,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.604583,200,878.036205,170,0,0,0.4394818551791832,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.830919,200,893.355341,144,0,0,0.38820535369217396,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.026318,200,911.908293,165,0,0,0.45942794052883984,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.297615,200,927.013813,169,0,0,0.4393687733821571,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
