#{"t_start": 1773783746.6209185, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
179.376337,200,14.503319,177,3,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
159.653449,200,31.725347,181,2,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
157.468782,200,46.861606,180,2,0,0.0,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
40.606283,46,50.553262,36,0,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
177.365453,200,65.069383,181,0,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
188.508861,200,80.829356,177,5,0,0.0,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
177.34949,200,96.58529,170,2,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
196.070367,200,111.364239,174,1,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
193.958357,200,127.334941,185,2,0,0.0,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
196.838127,200,142.663277,175,2,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
203.470974,200,160.764415,182,4,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
198.921321,200,176.930181,179,4,0,0.0,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
188.19644,200,191.384372,181,6,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
192.322093,200,206.054739,183,4,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
203.996264,200,223.210449,174,1,0,0.0,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
211.660925,200,239.071464,168,4,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
196.081312,200,253.774415,175,4,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
205.137231,200,271.273463,174,2,0,0.0,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
204.274062,200,287.378784,168,6,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
205.220131,200,302.102027,174,3,0,0.0,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,2.0,8.0
207.678995,200,317.717158,172,4,0,0.0,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,2.0,8.0
206.709538,200,332.576683,161,4,0,0.0,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,2.0,8.0
