#{"t_start": 1773841609.437192, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
30.398502,200,14.188098,181,154,0,0.0,157.93217179238783,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
21.481123,200,30.500282,178,25,0,0.0,120.45835051413634,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
24.399025,200,46.701762,167,9,0,0.0,83.78501291599133,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
17.601238,127,58.609933,104,82,0,0.0,66.74023487150666,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
46.094945,200,73.360313,150,5,0,0.0,72.71917289327837,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
67.238082,200,90.719466,158,4,0,0.0,75.30068242236979,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
111.189973,200,105.752374,154,116,0,0.0,80.02435071110718,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
68.701735,200,121.266823,145,7,0,0.0,66.43414778325713,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
76.556804,163,133.83475,117,4,0,0.0,58.0648165275157,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
34.255741,200,150.313757,149,115,0,0.0,71.72797414511439,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
0.85725,3,150.652253,3,0,0,0.0,1.4922889825701713,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
18.778244,83,157.453891,60,1,0,0.0,27.071868165992218,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
25.54446,200,172.396749,163,133,0,0.0,92.56710332304235,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
135.929403,200,187.579549,141,2,0,0.0,56.84959417305893,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
124.467842,200,202.677095,143,1,0,0.0,56.17747946616268,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
21.740135,42,206.157349,34,27,0,0.0,20.289100882709022,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
4.792059,8,206.814033,4,1,0,0.0,2.0361857118830087,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
33.305397,53,210.807672,35,1,0,0.0,19.090178919993352,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
122.864004,200,225.392246,136,85,0,0.0,59.45561738759273,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
98.04091,114,235.048564,76,0,0,0.0,24.452962532043486,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
52.629649,71,240.767533,42,0,0,0.0,15.675902147889149,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
86.357833,200,257.454655,146,101,0,0.0,63.36176634222264,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
159.062842,200,273.517137,136,0,0,0.0,44.140739568471965,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
145.24653,200,289.470326,127,1,0,0.0,38.49475539918995,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
148.731007,200,307.821395,130,90,0,0.0,52.150725170969906,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
34.869342,43,311.212915,25,0,0,0.0,8.451953925192354,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
161.970012,200,328.95495,129,1,0,0.0,39.70009629305457,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
115.898564,200,343.949441,127,72,0,0.0,38.98179048776624,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
171.388702,200,362.764527,124,0,0,0.0,34.232498005628635,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
171.60974,200,377.511977,112,0,0,0.0,31.987236880064057,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
168.045711,200,393.908571,114,73,0,0.0,39.57943303257225,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
166.88763,200,408.849518,111,0,0,0.0,29.99825969427829,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
169.716698,200,424.658017,103,0,0,0.0,28.68650091260676,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
164.289206,200,439.401863,117,60,0,0.0,31.42356492877005,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
180.702317,200,454.459225,97,1,0,0.0,24.818678268753025,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
