#{"t_start": 1773836759.7115583, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
30.398502,200,15.938682,181,154,0,0.0,157.93217179238783,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
-10.59057,200,30.702464,178,162,0,0.0,152.10476455867288,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
11.313341,200,49.249486,161,138,0,0.0,104.5782522124051,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
20.457261,77,55.231224,57,43,0,0.0,33.962067681252954,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
26.784396,56,59.427308,44,35,0,0.0,26.40979330986738,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
18.781152,200,75.412568,151,120,0,0.0,85.8088513672351,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
0.246257,4,75.749583,3,2,0,0.0,2.5669314044713967,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
48.622197,200,90.400396,157,115,0,0.0,87.41322329491373,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
123.332868,200,110.64239,144,108,0,0.0,66.30113217949861,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
31.054215,200,125.952663,139,111,0,0.0,76.62920124024149,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
42.442221,200,142.031308,152,115,0,0.0,81.31501532047983,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
1.222913,4,142.328182,3,3,0,0.0,1.7713991817831982,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
25.200578,200,157.125059,138,106,0,0.0,64.13141654074187,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
45.380845,200,172.487092,142,103,0,0.0,65.11129535406823,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
12.639473,200,187.625542,129,98,0,0.0,65.88627473533148,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
89.329293,200,203.688506,136,93,0,0.0,56.53969058066603,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
-12.939216,200,218.634894,136,97,0,0.0,60.65974162250752,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
125.449662,200,235.829026,122,76,0,0.0,44.82177282810208,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
113.372439,200,250.93397,109,77,0,0.0,43.90648808509107,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
56.848852,200,268.095021,122,74,0,0.0,44.96626079142091,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
108.487234,200,283.782563,99,61,0,0.0,31.69894704610108,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
143.732453,200,299.708271,96,64,0,0.0,34.35388296008107,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
