#{"t_start": 1773792126.6518645, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
190.769733,200,14.626558,179,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
128.443385,200,29.377683,186,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
134.887947,200,46.148332,182,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
176.422065,200,62.923245,170,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
183.692636,200,77.989613,170,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
195.379975,200,93.726214,180,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
197.706386,200,108.347468,174,6,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
201.450541,200,122.727053,177,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
184.353563,200,138.40891,184,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
129.010295,200,152.695111,172,1,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
111.281998,108,161.085027,95,1,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
204.371953,200,177.679192,184,7,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
199.571415,200,192.329171,184,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
204.483067,200,207.053777,184,5,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
206.235705,200,221.904176,178,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.475183,200,239.83547,174,5,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
154.749347,200,255.990823,175,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
205.691672,200,270.624227,176,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
208.085415,200,285.170336,173,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
1.38135,2,285.317469,1,0,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
207.777064,200,303.543692,177,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
205.429557,200,319.163069,172,5,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.116804,200,335.099706,179,5,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.258781,200,352.05355,182,6,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
59.783988,55,356.474747,52,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
208.101046,200,371.037451,176,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
208.807687,200,386.321621,183,7,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
156.274708,200,401.135258,187,6,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.283143,200,417.907803,178,9,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.637948,200,436.801292,180,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
1.297383,2,437.020999,2,0,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
213.307507,200,453.516721,184,9,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
206.748351,200,468.177539,167,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.826453,200,485.896546,172,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.271107,200,501.177004,175,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.366946,200,517.441045,170,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
0.489342,1,517.527396,1,1,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
156.451121,200,531.879878,177,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
1.350908,2,532.083156,2,1,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.988173,200,547.247466,179,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
211.078199,200,563.00313,166,1,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.753515,200,577.552467,177,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.680776,200,596.797557,171,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.351352,200,621.616469,172,6,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.287148,200,637.176363,166,5,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.428875,200,656.710214,159,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.759599,200,672.254473,163,4,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.531147,200,688.676386,154,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
157.298358,200,703.464658,160,3,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
