#{"t_start": 1773869717.777188, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
6.585278,8,3.418074,8,8,8,1.0107734128832817,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
48.00875,200,14.51055,177,35,177,0.7651630248129367,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
9.061025,88,20.921224,76,12,76,0.6852544068612836,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
33.239882,107,29.491513,96,89,96,0.7240037801109742,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
4.971016,6,29.957725,6,0,6,0.9194845755894979,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
50.501653,200,53.07141,184,31,184,0.7432336881756783,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
52.926657,200,70.037652,183,169,183,0.7671939659118653,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
4.175281,5,70.55105,5,2,5,1.0320148706436156,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
47.912785,200,85.734091,186,34,186,0.7569782105088234,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
34.866245,138,98.266715,123,105,123,0.7238868276278178,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
46.630641,200,119.02807,179,36,179,0.7563100062310696,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
49.777419,200,134.263148,178,43,178,0.7194541321694851,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
32.238695,77,140.500638,64,56,64,0.6949548400067663,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
18.051608,39,143.539819,36,12,36,0.7874182340426322,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
46.065317,200,161.868192,182,30,182,0.7491221907734871,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
35.125586,126,171.448394,111,98,111,0.7498814127747975,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,1.9799491167068484,2.6755370706319845
46.811877,197,188.688293,183,29,183,0.7647166332315067,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,1.9935047948360443,6.403451237455011
46.907964,200,203.343044,181,29,181,0.718508002012968,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,1.9935047948360443,6.403451237455011
