#{"t_start": 1773879358.9089994, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
52.051085,200,15.266053,181,155,181,0.7332123517990112,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
-2.776628,200,31.405674,184,18,184,0.7756536176800728,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
49.482318,200,48.585671,181,26,181,0.7262533697485923,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
49.295057,200,69.092227,171,151,171,0.6812857100367546,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
26.159279,92,78.501369,81,13,81,0.7328664939040723,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
51.83435,200,95.583943,176,38,176,0.7463130390644074,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
36.95081,144,107.083488,133,117,133,0.7721384347726902,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
51.149447,200,123.206295,171,23,171,0.7192254558205604,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
40.763474,160,136.201504,143,25,143,0.7144447749480605,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
46.179812,200,152.442904,189,163,189,0.7677625949680805,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
33.140958,94,160.631175,82,5,82,0.6510934595097887,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
13.267367,17,162.734265,16,3,16,0.7863205215510201,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
37.934153,163,177.219867,144,132,144,0.7012460851596177,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
46.394534,200,193.856956,181,25,181,0.733234983086586,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
50.751744,200,211.016804,185,34,185,0.7451411820948124,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
28.734324,95,219.155776,88,73,88,0.7207055104406257,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
47.154827,200,235.549216,179,23,179,0.7346452564001084,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
45.578966,200,253.979784,177,34,177,0.7156247663497924,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
53.442534,200,272.593043,171,151,171,0.7032004214823246,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
26.34892,64,278.480591,59,9,59,0.8466382068581879,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
49.377201,200,295.58069,179,28,179,0.6884109757840633,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
13.22075,14,297.584634,9,6,9,0.5203185592378888,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
49.584303,200,314.673467,175,18,175,0.7157096849381923,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
41.656683,109,324.315564,93,21,93,0.7290711979800408,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
25.086961,66,330.173738,59,54,59,0.7551067218636022,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
8.46499,80,338.339979,73,11,73,0.7900054741650819,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
25.673353,68,344.174095,56,9,56,0.6626522865365533,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
10.434344,72,350.207032,62,55,62,0.6705576106905937,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
53.542868,200,370.471001,172,21,172,0.7361833408474923,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
48.806064,200,386.610844,175,26,175,0.7072354336082936,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
15.041712,18,388.505246,17,17,17,0.8445505532953475,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
28.721623,64,393.689925,55,6,55,0.8020599912852049,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
45.659037,200,412.35441,180,41,180,0.7313699971139431,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
42.010967,152,425.89289,133,116,133,0.7314377078100255,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
30.915825,65,431.29942,61,10,61,0.9003672301769257,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
57.256769,200,447.974986,180,47,180,0.80184451431036,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
52.79447,200,464.868083,177,161,177,0.7317533168196678,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
50.112475,200,483.064821,179,15,179,0.7046396833658218,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
14.711357,19,485.150698,17,4,17,0.7269995934084842,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
12.292057,15,486.720621,14,13,14,0.7574878334999084,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
48.914544,200,507.284034,182,25,182,0.741152993440628,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
42.325579,119,516.75993,105,22,105,0.8176070544399133,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
19.051671,22,519.018273,20,20,20,0.9074069261550903,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
32.624738,78,525.602859,70,12,70,0.8586438787289155,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
8.680556,10,526.672318,10,1,10,1.0250488579273225,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
21.851495,39,530.253313,31,27,31,0.6729866655973288,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
27.609603,76,536.66448,67,8,67,0.7932954293332601,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
4.219383,5,537.217238,5,1,5,0.9742602467536926,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
4.212447,5,537.768492,5,4,5,1.0076894998550414,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
14.692436,17,539.98286,15,0,15,0.7102863052312065,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
52.311112,200,557.47392,175,40,175,0.7427814124524593,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
45.352416,200,573.37793,185,164,185,0.7444965736567974,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
55.056419,200,590.814805,181,28,181,0.7972986179590226,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
58.428022,200,609.477565,170,26,170,0.6962692241370678,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
25.788665,46,614.522254,33,33,33,0.6346687635649806,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
23.689229,63,619.951549,50,7,50,0.6390265467621031,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
25.161318,53,626.076863,47,20,47,0.9345681251219984,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
51.24583,200,643.222194,184,161,184,0.809087367206812,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
25.174625,70,649.430928,63,14,63,0.7755844111953463,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
55.281491,200,668.60303,181,30,181,0.7244799345731735,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
36.941087,144,681.409014,128,120,128,0.7935294616553519,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
44.061072,200,698.865373,180,18,180,0.7220628076791763,0.0,high|aggr|dropout,"('high', 'aggr', 'dropout')",nonstationary_unseen,1.9921503019332887,6.941428344249726
51.206955,200,717.916416,177,46,177,0.7243497847020626,0.0,high|calm|noisy,"('high', 'calm', 'noisy')",nonstationary_unseen,1.988705393075943,6.4113524001091715
47.435066,200,737.362394,183,163,183,0.7802883979678154,0.0,high|aggr|noisy,"('high', 'aggr', 'noisy')",nonstationary_unseen,1.9607515096664432,2.707141721248626
