#{"t_start": 1773867976.4821086, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
52.050622,200,21.397413,181,155,181,0.733142174333334,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
-2.621442,200,44.305161,184,165,184,0.7729655002057553,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
49.549751,200,65.703065,181,167,181,0.7232222828269005,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
47.260528,187,88.872605,159,140,159,0.6724994772258289,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
26.213452,90,97.846576,79,71,79,0.735744332936075,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
48.600791,200,120.514341,176,157,176,0.7187281018495559,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
23.949232,38,124.229354,31,29,31,0.730054359687002,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
47.077366,200,141.717767,183,162,183,0.7504576981067658,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
21.551124,46,145.633051,39,37,39,0.753699779510498,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
46.842176,200,162.029704,171,154,171,0.692079631537199,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
26.672192,74,168.273616,67,61,67,0.6983956283814198,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.997075,200,187.274232,189,167,189,0.7715246002376079,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
45.932719,200,203.445846,177,155,177,0.67758271291852,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.366902,200,220.247596,182,165,182,0.7367564991116524,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
28.16107,53,224.428441,45,42,45,0.8694588407030646,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
50.312393,200,241.128693,185,164,185,0.7399655890464782,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
5.354413,75,247.023782,68,60,68,0.7694417981306712,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
28.294682,78,253.002407,73,69,73,0.7855958250852731,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
29.017616,95,260.409858,85,71,85,0.741983489613784,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
48.376576,167,273.753699,153,138,153,0.7622921391875445,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
25.502387,67,279.253855,59,56,59,0.7467017747572998,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
17.466125,20,280.893077,17,15,17,0.819267550110817,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
13.310801,14,282.187961,12,10,12,0.8403160721063614,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
46.317339,186,297.854377,166,152,166,0.7380383384804572,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
24.302602,53,302.14959,46,41,46,0.7565695474732597,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
46.796219,191,316.893819,169,156,169,0.6860631958664399,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
49.570775,200,334.003231,181,168,181,0.7216794288158417,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
41.001361,179,349.383826,156,139,156,0.71242587559716,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
34.648317,121,359.281823,108,96,108,0.7089957996340822,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
49.357116,200,374.918157,176,162,176,0.7330414241552353,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
41.43429,161,388.722935,142,128,142,0.6876041011780686,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
53.507791,200,405.558425,177,158,177,0.7123028548061847,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
44.721881,200,420.993386,172,154,172,0.6734161560237407,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
4.193706,5,421.444955,5,4,5,0.8522877097129822,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
48.895986,200,437.654135,175,151,175,0.7010952590405941,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
44.600919,200,455.368643,177,154,177,0.6774873304367065,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.612871,200,473.52948,174,154,174,0.7302149690687656,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
8.90033,91,480.82212,81,73,81,0.7489454291024051,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
26.288003,52,485.196378,46,43,46,0.769402145766295,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
8.588291,10,486.158593,10,9,10,1.0728763967752457,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
51.584131,200,502.617617,173,154,173,0.7093505658209324,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
4.990045,6,503.172785,6,6,6,0.9925228158632914,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
43.377453,200,521.41836,172,154,172,0.6897948496043682,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
51.120999,200,546.43123,189,168,189,0.7777737790346145,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
49.533117,200,563.471824,167,152,167,0.6793972283601761,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
49.20633,200,579.876627,171,147,171,0.6580152839422226,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
-3.992743,200,595.697365,183,163,183,0.725476586073637,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
56.677602,200,611.17068,176,164,176,0.7822090239822864,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
5.02319,6,611.71678,6,5,6,0.9921715160210928,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
27.189286,60,616.466109,54,51,54,0.8489291042089462,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
5.016873,6,616.986125,6,5,6,1.1646231015523274,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
56.498087,200,632.931873,175,159,175,0.7618473376333713,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
11.11839,13,634.420097,12,12,12,0.9690388257686908,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
30.839797,61,640.915804,55,54,55,0.8823325262695062,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
8.575931,10,641.709266,10,10,10,1.2817554712295531,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
4.999837,6,642.243734,6,4,6,0.9312105476856232,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
54.994557,200,658.931298,188,169,188,0.8049805215001107,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
49.158038,200,676.148235,179,164,179,0.7902033780515194,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
48.418208,200,694.028797,187,168,187,0.7680663704872132,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.426087,200,709.692842,184,169,184,0.7915927997231483,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
46.758212,200,725.135063,166,147,166,0.6665019658207894,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
48.477124,200,741.286067,181,163,181,0.7028918825089931,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
31.087699,61,746.809955,53,47,53,0.7709874564506969,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.404498,200,763.463592,178,161,178,0.7427980484068394,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
51.834332,200,780.345232,178,167,178,0.7586707305908204,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
50.812083,200,797.197938,169,151,169,0.7151260671019554,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
55.398716,200,815.172254,171,149,171,0.6981474848091602,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
56.411858,200,833.664003,179,170,179,0.7927066898345947,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
57.201984,200,853.338654,182,168,182,0.8221888794004917,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.65637,200,870.416946,183,161,183,0.7241473382711411,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
53.083861,200,887.338787,185,172,185,0.7926295694708824,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.409691,200,902.917231,180,161,180,0.7585897324979305,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
47.754564,200,919.856703,184,171,184,0.8004896914958954,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.346108,200,937.008729,181,163,181,0.7545470868051052,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
50.728496,200,954.129043,186,169,186,0.8274666701257228,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
50.965118,200,969.583495,184,167,184,0.7733742497861386,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
47.814365,200,984.824006,176,158,176,0.6927806442975998,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
50.028041,200,1004.697973,179,161,179,0.7764242665469646,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
5.33058,7,1005.313089,5,4,5,0.2878327029091971,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.548706,200,1020.806005,174,158,174,0.7727105714380741,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.708757,200,1037.971092,181,167,181,0.783257438391447,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
54.026626,200,1054.24321,181,161,181,0.7118302436172962,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.249777,200,1071.062439,182,156,182,0.6809566226601601,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
54.965867,200,1090.089937,179,158,179,0.7734887319803238,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
56.908872,200,1105.386527,163,139,163,0.6529746930301189,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
6.48467,9,1106.149002,7,6,7,0.47325551840994096,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.582766,200,1122.833193,180,166,180,0.7784498369693756,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
50.194732,200,1138.448979,192,186,192,0.8227684661746025,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
52.360378,200,1153.612117,189,183,189,0.8324435980618,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
61.954677,200,1168.990798,165,148,165,0.7835025827586651,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
31.257637,52,1173.340014,45,41,45,0.7629307015584066,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
9.463515,12,1174.325186,8,7,8,0.38456342617670697,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
49.285456,200,1192.152416,173,153,173,0.7560175806283951,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
28.068233,50,1196.52615,45,38,45,0.8337934136390686,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
57.432221,200,1211.667731,183,171,183,0.8059232719242573,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
58.73496,200,1227.777758,183,167,183,0.775175043195486,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
35.287804,89,1236.89782,85,78,85,0.9094916053032607,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
15.845654,18,1238.791033,16,15,16,0.8152037809292475,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
55.633475,200,1256.146582,179,171,179,0.6576697137951851,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
58.662216,145,1268.12148,130,113,130,1.0589101137786077,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
57.223313,200,1283.44982,171,146,171,0.5225563713908196,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
58.962609,200,1300.759326,178,158,178,0.5686204037070275,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
55.082639,200,1319.998987,177,165,177,0.8396374663710594,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
74.59576,123,1335.050436,36,29,36,0.22090807460187897,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
55.26289,200,1355.320222,183,163,183,0.5726145085692406,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
73.582843,200,1379.227664,166,148,166,0.5501337730884552,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
127.227096,200,1402.244477,118,78,118,0.4269307766854763,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
125.656158,200,1419.30697,88,46,88,0.27058623790740965,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
127.598535,200,1435.362218,121,61,121,0.4464645293354988,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
139.126923,200,1451.191407,105,52,105,0.3459890019893646,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
62.279914,200,1466.567944,182,164,182,0.8105578295886516,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
8.755887,11,1467.675859,8,6,8,0.33128500797531824,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
143.269626,200,1484.18378,108,45,108,0.3625637640058994,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
146.464307,200,1501.387831,101,47,101,0.3182276676595211,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
32.456641,52,1505.732664,42,33,42,0.6104088654884925,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
67.150481,108,1514.70364,58,43,58,0.4304116862239661,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
144.072826,200,1531.465412,97,68,97,0.39411487281322477,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
141.483184,200,1550.729027,82,62,82,0.36988716557621953,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
145.803677,200,1567.705871,104,51,104,0.33463786527514455,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
146.169959,200,1584.213849,104,28,104,0.33506067395210265,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
146.400807,200,1600.85724,100,22,100,0.3170061196386814,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
17.325592,23,1602.685672,16,14,16,0.5116192335667817,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
144.412621,200,1619.552323,62,20,62,0.18459537073969842,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
145.552148,200,1635.118073,109,58,109,0.367398896664381,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
144.354199,200,1651.513663,78,21,78,0.2196751867234707,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
44.117429,71,1657.291461,38,32,38,0.43938294011102597,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
145.770311,200,1673.076082,96,42,96,0.392704099714756,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
145.310173,200,1689.041178,89,21,89,0.2658295512199402,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
132.533931,200,1706.781773,100,68,100,0.3570081081986427,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
77.808964,154,1718.576062,115,100,115,0.7463233844413386,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,1.9799491167068484,2.6755370706319845
