#{"t_start": 1773852928.3889508, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
209.155475,200,20.650232,99,0,0,0.6828555001504719,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
169.650582,200,35.221576,70,0,0,0.6557749520987273,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
163.759943,200,49.881064,98,0,0,0.6611773803457618,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
173.824508,200,65.790277,58,0,0,0.6993277588300407,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
201.025786,200,83.244275,76,0,0,0.6844734514318407,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
91.540041,200,99.93643,78,0,0,0.6754073290154338,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
158.230904,200,117.275552,95,0,0,0.7418933793529868,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
145.777335,200,132.746874,89,1,0,0.6548972802236677,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
96.561802,101,142.009655,52,0,0,0.7286739791236302,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
86.588432,200,157.509667,91,0,0,0.6941387234348804,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
141.745602,200,173.712726,62,0,0,0.7178733490407467,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
152.856674,149,184.986569,50,0,0,0.713689277536117,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
134.38029,135,195.023982,60,0,0,0.6344588294625282,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
57.741568,66,201.010098,25,0,0,0.6049113782743613,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
68.850948,70,206.624544,39,0,0,0.6736794218420983,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
79.581537,93,213.775704,41,0,0,0.6957247614940648,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
197.311924,200,228.929582,81,0,0,0.662174246609211,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
125.903536,132,238.912403,52,0,0,0.6734473694567428,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
194.068563,200,254.660259,110,0,0,0.6915370614640415,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
116.090804,135,264.747587,69,0,0,0.6302670811613401,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
121.776682,200,281.666179,97,0,0,0.6908801719918847,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
198.596071,200,296.447891,100,0,0,0.6009110467694699,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
209.12737,200,312.227077,111,0,0,0.6498479738086462,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.990097,200,327.900974,175,0,0,0.6423986215703189,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
208.971563,200,343.588725,132,0,0,0.6152424486057134,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.204926,200,359.485938,95,0,0,0.6679056832753122,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
207.712217,200,376.402674,135,0,0,0.5943366546649486,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
212.394093,200,394.52609,96,0,0,0.6489319920912385,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
193.713512,200,411.847594,110,0,0,0.6138239561300725,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
208.913166,200,427.558214,124,0,0,0.5655478182435035,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
194.710675,200,444.916133,132,0,0,0.5923092083632946,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.933444,200,459.870834,151,0,0,0.5853072018548846,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
209.472689,198,474.8684,111,0,0,0.6512049421517536,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
150.082243,200,489.755451,89,1,0,0.6462760159559547,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.990984,200,506.199523,192,41,0,0.2701668212749064,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
122.505856,200,520.928792,142,0,0,0.6189907038584351,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
207.476486,200,537.426548,107,12,0,0.4268929961603135,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.531164,200,552.060725,137,6,0,0.4058415037207305,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
86.703629,200,568.628255,157,0,0,0.6139332391694188,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
131.525937,200,584.964653,165,0,0,0.5444572827126831,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
23.63868,25,586.886608,11,0,0,0.735169928073883,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
4.377688,5,587.261725,2,0,0,0.7706944108009338,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
209.753681,200,602.174176,130,0,0,0.45484475169330835,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.195672,200,617.254922,123,1,0,0.42470949838869276,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
157.766825,200,633.402703,138,0,0,0.40536284044384957,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
157.734872,200,649.556452,106,0,0,0.38292915415018797,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.017415,200,665.972681,119,0,0,0.3693257260788232,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
209.323414,200,685.183424,166,18,0,0.38508269576355814,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
210.654562,200,701.090714,104,0,0,0.37509024381637573,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.096905,200,717.121898,115,1,0,0.4095202599093318,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
211.057922,200,732.325309,120,0,0,0.4671344612585381,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.329025,200,749.827843,153,1,0,0.3544262772798538,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.228101,200,764.968131,131,0,0,0.4257860974408686,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
1.269737,2,765.169275,2,0,0,0.05499234423041344,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
157.704476,200,780.009538,126,0,0,0.4632391674630344,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.721738,200,794.927449,184,1,0,0.25608033656142654,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
211.044257,200,812.068478,142,0,0,0.40048777164891364,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.095362,200,827.212384,122,0,0,0.47214759382419286,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.635595,200,842.261798,189,7,0,0.3025929421652108,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.792963,200,857.294108,191,0,0,0.22232695162296295,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.591409,200,873.372478,197,8,0,0.32601117150858044,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.742406,200,888.357084,194,6,0,0.27925443729385735,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
0.479625,1,888.466345,1,0,0,0.0,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
1.307,2,888.62309,2,2,0,0.0,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.874563,200,903.542546,130,5,0,0.3070739210769534,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.942345,200,918.26326,196,6,0,0.21810412632301449,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.062204,200,933.065566,193,2,0,0.35633451886475087,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.150452,200,948.737641,113,5,0,0.28669908419251444,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
211.023711,200,965.252632,198,0,0,0.17829571414738893,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.561741,200,982.281261,193,70,0,0.22866090001538397,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.084785,200,999.209551,191,6,0,0.301455146940425,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
211.014426,200,1015.060863,199,19,0,0.2277480636909604,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.033018,200,1031.04511,192,5,0,0.3366892862319946,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.014272,200,1049.217627,200,46,0,0.19698641683440654,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.717555,200,1064.845771,200,35,0,0.21229837042279542,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.050442,200,1079.451498,199,59,0,0.1697085597459227,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.158145,200,1095.357852,116,5,0,0.34072198627982286,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.908525,200,1111.11679,84,4,0,0.31885928358417004,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.096647,200,1127.384469,90,7,0,0.36319423228502273,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.247345,200,1142.030268,195,37,0,0.1144533807784319,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.530551,200,1157.155714,70,0,0,0.307515786094591,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.087566,200,1171.905729,180,7,0,0.32302062787581237,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.581584,200,1187.421244,200,23,0,0.21668258858844638,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
209.393504,200,1202.452681,78,1,0,0.3721883837878704,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
212.193225,200,1220.030503,83,0,0,0.40522181065753105,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.244067,200,1237.45285,194,27,0,0.18292325422167777,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.214768,200,1253.546407,106,0,0,0.3512613589828834,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.037483,200,1269.412343,199,17,0,0.158730448205024,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.045486,200,1288.04419,200,16,0,0.23383353943936527,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
211.086356,200,1304.745107,151,1,0,0.4958985643833876,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
209.522722,200,1321.19812,72,4,0,0.5926790959388017,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.161739,200,1339.372408,155,0,0,0.5117276975372806,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
171.594885,200,1354.904907,194,0,0,0.48878591316752135,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
211.049139,200,1371.044159,195,8,0,0.20736322071403265,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
211.051131,200,1386.844038,192,22,0,0.16770498668774964,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.611676,200,1402.77803,196,0,0,0.25283616989851,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
210.823434,200,1418.9226,146,0,0,0.6647908069007099,0.0,low|calm|clean,"('low', 'calm', 'clean')",nonstationary_seen,2.0,8.0
210.639879,200,1435.497421,124,0,0,0.5604862376209349,0.0,low|aggr|clean,"('low', 'aggr', 'clean')",nonstationary_seen,2.0,8.0
210.65967,200,1450.109766,195,4,0,0.2930631015449762,0.0,low|calm|noisy,"('low', 'calm', 'noisy')",nonstationary_seen,2.0,8.0
