#{"t_start": 1773851293.2172875, "env_id": "merge-v0"}
r,l,t,violation_count,near_miss_count,shield_count,action_correction_mean,reward_penalty_sum,ctx_id,ctx_tuple,regime_type,tau_violation,tau_near_miss
58.532746,69,5.632833,31,0,0,0.6082580014523389,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
62.757738,80,10.406061,31,0,0,0.7139197306707501,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
177.864562,200,26.922982,86,0,0,0.7042790657095611,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
131.666328,200,42.899897,66,0,0,0.6821319532766938,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
114.802056,200,58.016692,72,0,0,0.6418686497211457,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
22.243103,21,59.924133,10,0,0,0.671087533945129,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
145.117182,200,75.041069,88,0,0,0.6489114259462804,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
181.7078,200,89.736156,68,0,0,0.6982342542614788,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
165.349819,200,105.126907,76,0,0,0.6495466295443475,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
109.273444,124,114.647985,59,0,0,0.6455231423099195,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
83.996862,82,122.470393,44,0,0,0.6300333322184842,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
101.601866,200,140.236301,100,0,0,0.6673219473659993,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
72.515958,200,155.200179,99,0,0,0.6637382766976953,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
95.367697,94,162.158653,44,0,0,0.6891690081262842,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
53.637061,67,167.439549,26,0,0,0.7317062929939868,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
173.169231,200,184.079749,85,0,0,0.6937598891556263,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
108.44628,200,199.089235,90,0,0,0.6818564351648092,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
131.067739,200,216.098097,80,0,0,0.6857118412852288,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
71.321056,68,221.923812,61,0,0,0.6360890272566501,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
112.627617,200,237.952145,76,0,0,0.6285717527568341,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
206.261747,200,255.033981,128,0,0,0.6020826382189989,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
195.383881,200,273.080213,111,0,0,0.6940895883738994,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
207.476736,200,289.414391,89,0,0,0.5994768527522684,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
154.563232,200,305.498224,97,0,0,0.6209078698977828,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
188.371998,200,321.054713,108,0,0,0.6877978840097785,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
158.351131,200,335.868214,114,0,0,0.6231940448284149,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
191.721905,200,351.393105,80,0,0,0.6337778301537037,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
153.46893,200,366.721498,164,0,0,0.595920031182468,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
208.54229,200,382.702769,76,0,0,0.59293527957052,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
201.489033,200,397.594692,86,0,0,0.5540084204077721,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
186.65003,200,413.580621,50,0,0,0.5373106120899319,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
126.878168,200,428.645445,129,0,0,0.4438764212653041,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
165.744011,200,443.798482,66,0,0,0.5080878365784883,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
112.82514,177,457.012361,153,0,0,0.4245905047335194,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
142.734033,200,471.925014,104,0,0,0.5320725007355214,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
210.878156,200,488.159539,121,0,0,0.49121454956009986,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
196.25546,200,504.409323,183,0,0,0.31052215907722713,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
40.129877,200,523.142474,178,0,0,0.35777211354114113,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
205.468249,200,539.550818,99,0,0,0.4996700992435217,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
195.338728,200,556.046413,95,0,0,0.4722472790814936,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.564573,200,574.128707,111,0,0,0.39571913082152604,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
209.693431,200,589.05104,156,0,0,0.34614885912276805,0.0,low|calm|clean,"('low', 'calm', 'clean')",stationary,2.0,8.0
